src,dst
4222,3678
2115,3048
5184,4958
4388,5503
4260,1270
2207,3483
4683,984
2565,1245
670,516
355,3088
2209,2204
2397,3811
551,4163
3651,1214
2275,4149
297,5669
4373,4933
1957,3124
2937,1135
2017,4295
996,5275
2014,1732
3770,5763
2111,3356
1754,2090
1476,1544
4230,339
1037,5068
3033,3351
5195,1843
1077,110
5984,5792
456,3547
5943,4282
1786,5473
5890,4595
5293,1500
225,764
1618,2147
5065,928
1510,2384
3613,3907
3664,2594
4634,5721
4327,4548
1967,788
5488,1066
4526,2451
3479,5108
284,3526
1776,4026
4307,2384
4523,511
3991,4900
5477,3763
3378,961
4982,1653
5358,2236
3944,690
5129,234
100,1302
3860,2585
1143,5586
1788,4915
3083,3819
120,3599
862,118
182,1438
2215,5681
2360,4888
915,3970
3102,606
3516,1757
197,5504
1467,4155
5797,4273
3664,671
5420,4234
3887,4264
3479,5956
5834,3251
3562,5099
1580,3318
4397,4637
2821,894
3585,788
1831,1334
897,2970
1481,2014
2060,3469
3553,2271
2002,1438
5769,5778
4542,1129
4932,4849
25,1696
2252,5974
3856,4315
4818,3472
484,3832
5989,5646
181,1752
246,745
4719,4370
623,1369
4017,1178
1252,3827
5769,1635
3590,511
311,4076
2892,5124
4283,1732
4124,1015
4086,1807
371,2337
4628,680
1610,5132
5309,5464
2457,5311
553,3973
4775,5311
3259,886
3279,2682
1369,5040
2565,1404
3087,398
2914,3077
2507,4595
4327,4102
2171,750
841,4114
5282,3170
1602,1315
602,553
1852,653
634,4590
5360,3128
332,637
3017,1027
1454,5159
2818,609
2769,4270
2985,1440
3668,4517
5134,4731
1290,2280
595,2707
5619,5518
89,744
815,1985
2400,5933
68,4968
5597,3544
2872,5236
5928,178
1024,1522
3821,3033
5426,4331
5989,5123
3406,3559
4756,5505
3242,673
5179,3671
1668,5931
5076,334
824,1781
2977,2428
4765,2950
2298,515
277,2540
3102,3469
4219,2335
3887,5925
5891,623
2835,1824
5392,3102
2652,5531
3072,2148
4523,3476
3304,5968
5619,1326
5851,1637
5930,3595
3155,4950
1463,1353
4591,2414
537,367
3164,2842
4399,1938
5868,3053
2983,1645
4170,341
1719,2
2581,2026
1653,2438
4363,2494
5928,4644
4018,4281
2306,1940
4363,2300
1455,5464
5953,1177
2021,1629
2827,2428
4056,1485
2376,4971
1501,1347
5693,1005
2129,4260
2320,2672
5105,4944
4629,4449
5943,881
2198,1157
3682,3023
5036,4284
40,4144
5542,2211
1378,3663
3020,3096
5693,4482
1875,1739
5226,3946
941,3103
2694,5602
2732,1371
168,5902
5282,46
2581,3083
5599,5096
4805,60
